Date,Platform,Product Handle,Product Title,Content Angle,Hook,Script / Caption,CTA,Hashtags,UTM URL,Asset Needed,Status
2026-05-29,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,A small purple bracelet detail that changes the whole outfit,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on purple bracelet: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=purple_bracelet,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-05-30,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,Three ways to style a stackable purple bracelet,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on gift for her: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=gift_for_her,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-05-31,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,The everyday bracelet that makes a simple look feel finished,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on outfit detail: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=outfit_detail,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-01,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,A small purple bracelet detail that changes the whole outfit,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on everyday jewelry: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=youtube_shorts&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=everyday_jewelry,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-02,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,Three ways to style a stackable purple bracelet,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on purple bracelet: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=youtube_shorts&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=purple_bracelet,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-03,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,The everyday bracelet that makes a simple look feel finished,"Show Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on gift for her: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=youtube_shorts&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=gift_for_her,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-11,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,A small purple bracelet detail that changes the whole outfit,"Show Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on everyday jewelry: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=everyday_jewelry,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-12,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,Three ways to style a stackable purple bracelet,"Show Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on purple bracelet: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=purple_bracelet,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-13,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,gift for her,The everyday bracelet that makes a simple look feel finished,"Show Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on gift for her: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=tiktok_reels&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=gift_for_her,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
2026-06-14,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,A small purple bracelet detail that changes the whole outfit,"Show Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry on wrist, then layer it with a watch, a neutral knit, and a simple ring. Keep the focus on stackable bracelet: soft color, easy stacking, and everyday jewelry styling.",Shop the piece or save the styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=youtube_shorts&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=stackable_bracelet,"Vertical product video: wrist/neck/ear close-up, outfit styling, natural light",Draft
