Asset ID,Asset Type,Platform,Product Handle,Product Title,Content Angle,Prompt Summary,Generated Asset Path,Review Status,Compliance Check,Notes
IMG-0001,Product Reference Still,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0002,Product Reference Still,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0003,Product Reference Still,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0004,Product Reference Still,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0005,Product Reference Still,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0006,Product Reference Still,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0007,Pinterest Pin Image,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0008,Pinterest Pin Image,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0009,Pinterest Pin Image,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0010,Pinterest Pin Image,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0011,Pinterest Pin Image,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0012,Instagram Lifestyle Image,Instagram,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0013,Instagram Lifestyle Image,Instagram,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0014,Product Reference Still,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0015,Product Reference Still,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0016,Product Reference Still,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0017,Product Reference Still,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet,,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0018,Product Reference Still,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0019,Product Reference Still,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0020,Pinterest Pin Image,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0021,Pinterest Pin Image,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet,,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0022,Pinterest Pin Image,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0023,Pinterest Pin Image,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, s",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0024,Pinterest Pin Image,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0025,Instagram Lifestyle Image,Instagram,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, sty",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0026,Instagram Lifestyle Image,Instagram,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,Photorealistic product lifestyle image for Mandala Jewels: Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet,,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0027,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0028,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0029,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0030,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
