collection_title,handle,purpose,rule_hint
Tibetan Thangka Pendants,tibetan-thangka-pendants,Main collection for thangka pendant SEO,tag contains Thangka Pendant
Zodiac Guardian Jewelry,zodiac-guardian-jewelry,Zodiac themed cultural guide and products,tag contains Zodiac Guardian
Green Tara Jewelry,green-tara-jewelry,Green Tara theme page,tag contains Green Tara
Buddha Eye Pendants,buddha-eye-pendants,Buddha Eye theme page,tag contains Buddha Eye
Jambhala Wealth Jewelry,jambhala-wealth-jewelry,Jambhala theme page with symbolic wording,tag contains Yellow Jambhala
Meaningful Gifts for Her,meaningful-gifts-for-her,Gift landing page,tag contains Gift For Her OR Mindful Gift
Spiritual Necklaces,spiritual-necklaces,Generic SEO collection,tag contains Spiritual Necklace
Beaded Crystal Bracelets,beaded-crystal-bracelets,Crystal bracelet traffic collection,tag contains Crystal Bracelet
Purple Crystal Bracelets,purple-crystal-bracelets,Purple/amethyst bracelet traffic collection,tag contains Purple Crystal
Gifts Under $150,gifts-under-150,Entry-price gift page,tag contains Under 150
Heirloom Thangka Jewelry,heirloom-thangka-jewelry,High-ticket cultural art jewelry,tag contains 700 Plus
