Date,Platform,Product Handle,Product Title,Content Angle,Hook,Script / Caption,CTA,Hashtags,UTM URL,Asset Needed,Status
2026-06-04,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,A small purple bracelet detail that changes the whole outfit,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry styled as stackable bracelet. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=stackable_bracelet,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-05,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,Three ways to style a stackable purple bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry styled as everyday jewelry. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=everyday_jewelry,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-06,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,The everyday bracelet that makes a simple look feel finished,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry styled as purple bracelet. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=purple_bracelet,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-07,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,A small purple bracelet detail that changes the whole outfit,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry styled as gift for her. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=gift_for_her,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-08,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,Three ways to style a stackable purple bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry styled as outfit detail. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/lavender-clarity-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=outfit_detail,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-17,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,outfit detail,A small purple bracelet detail that changes the whole outfit,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry styled as outfit detail. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=outfit_detail,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-18,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,Three ways to style a stackable purple bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry styled as stackable bracelet. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=stackable_bracelet,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-19,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,The everyday bracelet that makes a simple look feel finished,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry styled as everyday jewelry. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=everyday_jewelry,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-20,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,A small purple bracelet detail that changes the whole outfit,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry styled as purple bracelet. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=purple_bracelet,Vertical pin image: product close-up plus outfit detail,Draft
2026-06-21,Pinterest,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,gift for her,Three ways to style a stackable purple bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry styled as gift for her. Save this idea for simple everyday jewelry inspiration.,Save this jewelry styling idea,#MandalaJewels #CrystalBracelet #PurpleBracelet #BeadedBracelet #StackableBracelet #GiftForHer #EverydayJewelry,https://mandalajewelshop.com/products/obsidian-glow-crystal-bracelet?utm_source=pinterest&utm_medium=organic_social&utm_campaign=active_exposure&utm_content=gift_for_her,Vertical pin image: product close-up plus outfit detail,Draft
