Handle,Title,Body HTML,Type,Tags,SEO Title,SEO Description,Image Alt Text,Collection Candidates,Focus Category,Priority,Listing Recommendation,Compliance Notes
lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Lavender Crystal Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Lavender Crystal Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Obsidian Glow Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Obsidian Glow Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
twilight-purple-beaded-bracelet,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Twilight Purple Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Twilight Purple Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
soft-lilac-beaded-bracelet,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Soft Lilac Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Soft Lilac Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
moonlit-violet-beaded-bracelet,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,"<p>A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.</p>",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Moonlit Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Moonlit Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Crystal Bracelet,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
非洲翠水晶-diy手串发其一,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,"<p>African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.</p>",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",African Green Quartzite,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠合金手链,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,"<p>African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.</p>",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",African Green Quartzite,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠飘花手串,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,"<p>African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.</p>",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",African Green Quartzite,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠缅黄多宝手串发其一多样性发货,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,"<p>African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.</p>",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",African Green Quartzite,High,Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
