Job ID,Source Date,Platform,Product Handle,Product Title,Content Angle,Asset Type,Aspect Ratio,Image Prompt,Negative Prompt,Reference Image Needed,Model Suggestion,Status
IMG-0001,2026-06-24,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0002,2026-06-25,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0003,2026-06-26,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0004,2026-06-27,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0005,2026-05-29,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0006,2026-05-30,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0007,2026-05-31,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,gift for her,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0008,2026-06-01,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0009,2026-06-02,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0010,2026-06-03,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
