Handle,Title,Body HTML,Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Alt Text,SEO Title,SEO Description
lavender-crystal-beaded-bracelet,薰衣草紫晶手链,"柔和薰衣草紫色水晶手链，适合日常叠戴、通勤造型和礼物搭配。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",ACTIVE,CB-LAV-001,89,https://example.com/commercial/lavender-crystal-bracelet.jpg,,,
obsidian-glow-purple-crystal-bracelet,黑曜紫光水晶手链,"黑紫色调串珠手链，带有低调光泽，适合极简穿搭和夜间造型。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",ACTIVE,CB-OBS-002,118,https://example.com/commercial/obsidian-glow-bracelet.jpg,,,
soft-lilac-beaded-bracelet,柔雾丁香紫串珠手链,"柔雾丁香紫串珠手链，轻盈细腻，适合春夏叠戴和日常礼物。",Mandala Jewels,Bracelet,"Beaded Bracelet, Purple Bracelet, Everyday Jewelry",ACTIVE,CB-LIL-003,95,https://example.com/commercial/soft-lilac-bracelet.jpg,,,
moonlit-violet-crystal-bracelet,月影紫水晶串珠手链,"月影紫色水晶串珠手链，适合与银色饰品叠戴，营造柔和层次感。",Mandala Jewels,Bracelet,"Crystal Bracelet, Beaded Bracelet, Purple Bracelet",ACTIVE,CB-MOON-004,138,https://example.com/commercial/moonlit-violet-bracelet.jpg,,,
violet-beaded-bracelet,紫晶串珠手链,"经典紫晶串珠手链，适合日常佩戴、轻礼物和简约首饰搭配。",Mandala Jewels,Bracelet,"Amethyst Bracelet, Purple Bracelet, Gift For Her",ACTIVE,CB-VIO-005,76,https://example.com/commercial/violet-beaded-bracelet.jpg,,,
purple-crystal-stackable-bracelet,Purple Crystal Bracelet Stack,"Stackable purple crystal bracelet with polished round beads for everyday minimal jewelry styling.",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",ACTIVE,CB-STK-006,129,https://example.com/commercial/purple-crystal-stack.jpg,,,
african-green-quartzite-beaded-bracelet,非洲翠手串,"绿色石英质玉手串，天然绿色调，适合日常佩戴和礼物搭配。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,AGQ-BR-001,128,https://example.com/commercial/african-green-quartzite-bracelet.jpg,,,
african-green-quartzite-peace-buckle-pendant,非洲翠平安扣吊坠,"非洲翠平安扣吊坠，温润绿色石纹，适合简约项链搭配。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Green Stone Jewelry",ACTIVE,AGQ-PB-002,218,https://example.com/commercial/african-green-quartzite-peace-buckle.jpg,,,
african-green-quartzite-drop-earrings,非洲翠耳坠,"非洲翠绿色石感耳坠，适合日常通勤、度假穿搭和轻礼物。",Mandala Jewels,Earrings,"African Green Quartzite, Earrings, Green Stone Jewelry",ACTIVE,AGQ-ER-003,168,https://example.com/commercial/african-green-quartzite-earrings.jpg,,,
african-green-quartzite-ring,非洲翠戒圈,"极简绿色石英质玉戒圈，适合单戴或与金银色戒指叠搭。",Mandala Jewels,Ring,"African Green Quartzite, Ring, Minimal Jewelry",ACTIVE,AGQ-RG-004,98,https://example.com/commercial/african-green-quartzite-ring.jpg,,,
african-green-quartzite-hulu-pendant,非洲翠葫芦吊坠,"非洲翠葫芦造型吊坠，绿色石纹自然柔和，适合日常项链造型。",Mandala Jewels,Necklace,"African Green Quartzite, Pendant Necklace, Natural Green Stone",ACTIVE,AGQ-HU-005,188,https://example.com/commercial/african-green-quartzite-hulu.jpg,,,
green-quartzite-bar-pendant,Green Quartzite Bar Pendant,"Natural green stone bar pendant made with African Green Quartzite for clean everyday necklace styling.",Mandala Jewels,Necklace,"African Green Quartzite, Green Quartzite, Pendant Necklace",ACTIVE,AGQ-BAR-006,156,https://example.com/commercial/green-quartzite-bar-pendant.jpg,,,
african-green-quartzite-round-bead-bracelet,African Green Quartzite Round Bead Bracelet,"Polished round bead bracelet in natural green stone tones for casual stacked bracelet styling.",Mandala Jewels,Bracelet,"African Green Quartzite, Beaded Bracelet, Green Stone Jewelry",ACTIVE,AGQ-RB-007,142,https://example.com/commercial/green-quartzite-round-bead-bracelet.jpg,,,
natural-green-stone-stud-earrings,Natural Green Stone Stud Earrings,"Small natural green stone stud earrings with a clean minimal look for everyday outfits.",Mandala Jewels,Earrings,"Natural Green Stone, Green Quartzite Jewelry, Earrings",ACTIVE,AGQ-STUD-008,72,https://example.com/commercial/natural-green-stone-studs.jpg,,,
green-quartzite-donut-pendant,石英质玉圆环吊坠,"石英质玉圆环吊坠，绿色调清爽，适合简约项链和礼物搭配。",Mandala Jewels,Necklace,"Green Quartzite, Natural Green Stone, Pendant Necklace",ACTIVE,AGQ-DONUT-009,132,https://example.com/commercial/green-quartzite-donut-pendant.jpg,,,
african-green-quartzite-tube-bracelet,非洲翠桶珠手链,"非洲翠桶珠手链，绿色石纹自然，适合休闲叠戴和日常佩戴。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Bracelet, Beaded Bracelet",ACTIVE,AGQ-TUBE-010,148,https://example.com/commercial/african-green-quartzite-tube-bracelet.jpg,,,
