Handle,Title,Body HTML,Vendor,Type,Tags,Status,Variant SKU,Variant Price,Image Src,Image Alt Text,SEO Title,SEO Description
lavender-clarity-crystal-bracelet,薰衣草紫晶手链,"第一批商业 SEO 优化：紫色水晶串珠手链，适合叠戴、日常首饰和礼物场景。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",ACTIVE,FBC-CB-001,89,https://example.com/first-batch/lavender-clarity-crystal-bracelet.jpg,,,
obsidian-glow-crystal-bracelet,黑曜紫光水晶手链,"第一批商业 SEO 优化：黑紫色水晶串珠手链，适合极简造型、叠戴和礼物场景。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",ACTIVE,FBC-CB-002,118,https://example.com/first-batch/obsidian-glow-crystal-bracelet.jpg,,,
violet-beaded-bracelet,紫晶串珠手链,"第一批商业 SEO 优化：紫晶串珠手链，适合 everyday jewelry、gift for her 和 stackable bracelet 关键词。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",ACTIVE,FBC-CB-003,76,https://example.com/first-batch/violet-beaded-bracelet.jpg,,,
twilight-purple-beaded-bracelet,暮色紫晶串珠手链,"第一批商业 SEO 优化：暮色紫调串珠手链，适合日常佩戴、叠戴和简约首饰搭配。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",ACTIVE,FBC-CB-004,108,https://example.com/first-batch/twilight-purple-beaded-bracelet.jpg,,,
soft-lilac-beaded-bracelet,柔雾丁香紫串珠手链,"第一批商业 SEO 优化：柔雾丁香紫串珠手链，适合日常礼物、轻盈叠戴和 minimal jewelry 场景。",Mandala Jewels,Bracelet,"Beaded Bracelet, Purple Bracelet, Everyday Jewelry",ACTIVE,FBC-CB-005,95,https://example.com/first-batch/soft-lilac-beaded-bracelet.jpg,,,
moonlit-violet-beaded-bracelet,月影紫水晶串珠手链,"第一批商业 SEO 优化：月影紫水晶串珠手链，适合 stackable bracelet、purple bracelet 和 gift for her 场景。",Mandala Jewels,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",ACTIVE,FBC-CB-006,138,https://example.com/first-batch/moonlit-violet-beaded-bracelet.jpg,,,
非洲翠水晶-diy手串发其一,非洲翠水晶-diy手串发其一,"第一批商业 SEO 优化：非洲翠 / 石英质玉绿色石感手串，避免 jadeite jade 表述，围绕 natural green stone 与 stackable look。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,FBC-AGQ-001,128,https://example.com/first-batch/african-green-quartzite-diy-bracelet.jpg,,,
石英质玉非洲翠合金手链,石英质玉非洲翠合金手链,"第一批商业 SEO 优化：石英质玉非洲翠合金手链，适合 everyday jewelry、gift jewelry 和 minimal styling。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Bracelet",ACTIVE,FBC-AGQ-002,118,https://example.com/first-batch/green-quartzite-alloy-bracelet.jpg,,,
石英质玉非洲翠飘花手串,石英质玉非洲翠飘花手串,"第一批商业 SEO 优化：石英质玉非洲翠飘花手串，突出 natural green stone、stackable bracelet 和 gift jewelry。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,FBC-AGQ-003,148,https://example.com/first-batch/green-quartzite-pattern-bracelet.jpg,,,
石英质玉非洲翠缅黄多宝手串发其一多样性发货,石英质玉非洲翠缅黄多宝手串发其一多样性发货,"第一批商业 SEO 优化：石英质玉非洲翠多宝手串，多样性发货，适合 natural green stone 和 everyday stacked bracelet 场景。",Mandala Jewels,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",ACTIVE,FBC-AGQ-004,168,https://example.com/first-batch/green-quartzite-mixed-bead-bracelet.jpg,,,
