Job ID,Source Date,Platform,Product Handle,Product Title,Content Angle,Asset Type,Aspect Ratio,Image Prompt,Negative Prompt,Reference Image Needed,Model Suggestion,Status
IMG-0001,2026-05-29,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0002,2026-05-30,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0003,2026-05-31,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as outfit detail, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0004,2026-06-01,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0005,2026-06-02,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0006,2026-06-03,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,Product Reference Still,9:16,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0007,2026-06-04,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,stackable bracelet,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0008,2026-06-05,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0009,2026-06-06,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
IMG-0010,2026-06-07,Pinterest,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,Pinterest Pin Image,2:3,"Photorealistic product lifestyle image for Mandala Jewels: Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet as gift for her, styled with lavender, violet, and soft purple tones, clean natural light, minimal outfit detail, elegant hands or flat lay, premium ecommerce composition, no religious symbols, no text overlay.","no medical claims, no wealth claims, no religious iconography, no exaggerated gemstones, no fake logo, no misspelled text, no misleading green stone material names",Yes - use real product photo when available,Image model or product-preserving image edit workflow,Prompt Ready
