Edit ID,Source Video Job ID,Platform,Product Handle,Product Title,Aspect Ratio,Duration Seconds,Edit Structure,Caption Text,Music Direction,Required Assets,Export Filename,Status
EDIT-0001,VID-0001,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_tiktok_reels_0001.mp4,Needs Generated Assets
EDIT-0002,VID-0002,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_tiktok_reels_0002.mp4,Needs Generated Assets
EDIT-0003,VID-0003,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_tiktok_reels_0003.mp4,Needs Generated Assets
EDIT-0004,VID-0004,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_youtube_shorts_0004.mp4,Needs Generated Assets
EDIT-0005,VID-0005,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_youtube_shorts_0005.mp4,Needs Generated Assets
EDIT-0006,VID-0006,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",lavender-clarity-crystal-bracelet_youtube_shorts_0006.mp4,Needs Generated Assets
EDIT-0007,VID-0007,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",obsidian-glow-crystal-bracelet_tiktok_reels_0007.mp4,Needs Generated Assets
EDIT-0008,VID-0008,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",obsidian-glow-crystal-bracelet_tiktok_reels_0008.mp4,Needs Generated Assets
EDIT-0009,VID-0009,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",obsidian-glow-crystal-bracelet_tiktok_reels_0009.mp4,Needs Generated Assets
EDIT-0010,VID-0010,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",obsidian-glow-crystal-bracelet_youtube_shorts_0010.mp4,Needs Generated Assets
EDIT-0011,VID-0011,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,9:16,15,"Hook frame, product close-up, outfit styling, final CTA, burned-in captions",Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,"Soft modern lifestyle beat, low volume under captions","Approved product still, generated video clip, logo-free end frame, UTM link",obsidian-glow-crystal-bracelet_youtube_shorts_0011.mp4,Needs Generated Assets
