Asset ID,Asset Type,Platform,Product Handle,Product Title,Content Angle,Prompt Summary,Generated Asset Path,Review Status,Compliance Check,Notes
IMG-0001,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0002,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0003,Product Reference Still,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0004,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0005,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0006,Product Reference Still,YouTube Shorts,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0007,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled wit",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0008,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0009,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as stackable bracelet, styl",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0010,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as everyday jewelry, styled",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0011,Pinterest Pin Image,Pinterest,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as purple bracelet, styled ",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0012,Instagram Lifestyle Image,Instagram,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,gift for her,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as gift for her, styled wit",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
IMG-0013,Instagram Lifestyle Image,Instagram,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,outfit detail,"Photorealistic product lifestyle image for Mandala Jewels: Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet as outfit detail, styled wi",,Needs Generation,No claims; no religious symbols; product appearance must be reviewed,
VID-0001,AI Image-to-Video Clip,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,stackable bracelet,Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on stackable bracele,,Needs Generation,No claims; product resemblance and subtitles must be reviewed,
VID-0002,AI Image-to-Video Clip,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,everyday jewelry,Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry.,,Needs Generation,No claims; product resemblance and subtitles must be reviewed,
VID-0003,AI Image-to-Video Clip,TikTok/Reels,violet-beaded-bracelet,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,purple bracelet,Create a vertical short video for Mandala Jewels featuring Violet Beaded Bracelet | Everyday Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. ,,Needs Generation,No claims; product resemblance and subtitles must be reviewed,
