Job ID,Source Date,Platform,Product Handle,Product Title,Content Angle,Asset Type,Aspect Ratio,Duration Seconds,Video Prompt,Shot List,On-screen Text,Voiceover,Model Suggestion,Status
VID-0001,2026-05-29,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0002,2026-05-30,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0003,2026-05-31,TikTok/Reels,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,outfit detail,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on outfit detail. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as outfit detail. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0004,2026-06-01,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0005,2026-06-02,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0006,2026-06-03,YouTube Shorts,lavender-clarity-crystal-bracelet,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0007,2026-06-11,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,everyday jewelry,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on everyday jewelry. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as everyday jewelry. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0008,2026-06-12,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,purple bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on purple bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,Three ways to style a stackable purple bracelet | Shop the piece or save the styling idea,Three ways to style a stackable purple bracelet. Style it as purple bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0009,2026-06-13,TikTok/Reels,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,gift for her,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on gift for her. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,The everyday bracelet that makes a simple look feel finished | Shop the piece or save the styling idea,The everyday bracelet that makes a simple look feel finished. Style it as gift for her. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
VID-0010,2026-06-14,YouTube Shorts,obsidian-glow-crystal-bracelet,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,stackable bracelet,AI Image-to-Video Clip,9:16,14,"Create a vertical short video for Mandala Jewels featuring Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry. Show purple crystal beaded bracelet; focus on stackable bracelet. Use neutral knit, simple ring, watch stack, soft everyday outfit. Camera: macro close-up, wrist or neckline detail, gentle hand movement, outfit transition, natural window light. Tone: calm, modern, premium, organic social. Avoid claims about luck, wellness, protection, or money.",0-2s product close-up hook; 2-6s hand/wrist or outfit detail; 6-10s styling transition; 10-14s final product hero shot with CTA-safe frame,A small purple bracelet detail that changes the whole outfit | Shop the piece or save the styling idea,A small purple bracelet detail that changes the whole outfit. Style it as stackable bracelet. Shop the piece or save the styling idea.,Runway/Luma/Kling image-to-video after product image approval,Prompt Ready
