Handle,Command,Focus Category,Priority,Original Title,Original Type,Original Tags,Original SEO Title,Original SEO Description,Variant SKU,Variant Price,Image Src,Recommended Title,Recommended SEO Title,Recommended SEO Description,Recommended Product Type,Recommended Tags,Recommended Image Alt Text,Collection Candidates,Listing Recommendation,Compliance Notes
lavender-clarity-crystal-bracelet,UPDATE,Crystal Bracelet,High,薰衣草紫晶手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",,,FBC-CB-001,89,https://example.com/first-batch/lavender-clarity-crystal-bracelet.jpg,Lavender Crystal Beaded Bracelet | Stackable Purple Jewelry,Lavender Crystal Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Lavender Crystal Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
obsidian-glow-crystal-bracelet,UPDATE,Crystal Bracelet,High,黑曜紫光水晶手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",,,FBC-CB-002,118,https://example.com/first-batch/obsidian-glow-crystal-bracelet.jpg,Obsidian Glow Beaded Bracelet | Black & Purple Crystal Jewelry,Obsidian Glow Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Obsidian Glow Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
violet-beaded-bracelet,UPDATE,Crystal Bracelet,High,紫晶串珠手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",,,FBC-CB-003,76,https://example.com/first-batch/violet-beaded-bracelet.jpg,Violet Beaded Bracelet | Everyday Purple Crystal Jewelry,Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
twilight-purple-beaded-bracelet,UPDATE,Crystal Bracelet,High,暮色紫晶串珠手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Stackable Bracelet",,,FBC-CB-004,108,https://example.com/first-batch/twilight-purple-beaded-bracelet.jpg,Twilight Purple Beaded Bracelet | Stackable Purple Jewelry,Twilight Purple Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Twilight Purple Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
soft-lilac-beaded-bracelet,UPDATE,Crystal Bracelet,High,柔雾丁香紫串珠手链,Bracelet,"Beaded Bracelet, Purple Bracelet, Everyday Jewelry",,,FBC-CB-005,95,https://example.com/first-batch/soft-lilac-beaded-bracelet.jpg,Soft Lilac Beaded Bracelet | Delicate Purple Crystal Jewelry,Soft Lilac Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Soft Lilac Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
moonlit-violet-beaded-bracelet,UPDATE,Crystal Bracelet,High,月影紫水晶串珠手链,Bracelet,"Crystal Bracelet, Purple Bracelet, Beaded Bracelet",,,FBC-CB-006,138,https://example.com/first-batch/moonlit-violet-beaded-bracelet.jpg,Moonlit Violet Beaded Bracelet | Stackable Crystal Bracelet,Moonlit Violet Beaded Bracelet - Mandala Jewels,"A stackable purple crystal beaded bracelet designed for everyday styling, easy gifting, and soft minimal jewelry looks.",Bracelet,"Mandala Jewels, Crystal Bracelet, Beaded Bracelet, Purple Bracelet, Stackable Bracelet, Gift For Her, Everyday Jewelry, Minimal Jewelry, Pinterest Ready, TikTok Ready",Moonlit Violet Beaded Bracelet by Mandala Jewels,"Beaded Crystal Bracelets, Purple Crystal Bracelets, Stackable Bracelets, Gifts Under $150, Meaningful Gifts for Her",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
非洲翠水晶-diy手串发其一,UPDATE,African Green Quartzite,High,非洲翠水晶-diy手串发其一,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,FBC-AGQ-001,128,https://example.com/first-batch/african-green-quartzite-diy-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠合金手链,UPDATE,African Green Quartzite,High,石英质玉非洲翠合金手链,Bracelet,"African Green Quartzite, Green Stone Jewelry, Bracelet",,,FBC-AGQ-002,118,https://example.com/first-batch/green-quartzite-alloy-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠飘花手串,UPDATE,African Green Quartzite,High,石英质玉非洲翠飘花手串,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,FBC-AGQ-003,148,https://example.com/first-batch/green-quartzite-pattern-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
石英质玉非洲翠缅黄多宝手串发其一多样性发货,UPDATE,African Green Quartzite,High,石英质玉非洲翠缅黄多宝手串发其一多样性发货,Bracelet,"African Green Quartzite, Green Stone Jewelry, Beaded Bracelet",,,FBC-AGQ-004,168,https://example.com/first-batch/green-quartzite-mixed-bead-bracelet.jpg,African Green Quartzite Beaded Bracelet | Natural Green Stone Jewelry,African Green Quartzite Beaded Bracelet - Mandala Jewels,"African Green Quartzite jewelry with a natural green stone look, using cautious quartzite wording for everyday outfits, gifting, and minimal styling.",Bracelet,"Mandala Jewels, African Green Quartzite, Green Quartzite Jewelry, Natural Green Stone, Green Stone Jewelry, Gift For Her, Pinterest Ready, TikTok Ready, Beaded Bracelet",African Green Quartzite Beaded Bracelet by Mandala Jewels,"African Green Quartzite Jewelry, Green Stone Jewelry, Green Stone Bracelets, Gift Jewelry",Optimize for Commercial SEO / Google Merchant Review,Title contains Chinese; create English SEO title
